event_id,queue_id,repair_class,url,status,body_hash,body_path,metadata_path,error
ofac-dprk-it-worker-sim-hyon-sop-2023-04,164,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
ofac-hamas-buy-cash-msb-2023-10,165,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
ofac-hamas-gaza-now-2024-03,166,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
ofac-hamas-irgc-virtual-currency-network-2024-01,167,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
ofac-houthi-al-jamal-crypto-refresh-2024-12,168,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
ofac-trickbot-conti-eleven-2023-09,170,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
ofac-zhdanova-russian-elite-launderer-2023-11,171,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
okx-monero-global-delisting-2024,172,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
opensea-iran-cuba-sanctions-block-2022,174,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
paxos-busd-nydfs-minting-stop-2023,175,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
polymarket-cftc-geofence-2022-01,179,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
polynonce-bittrex-fincen-2022,180,repair_replayable_trigger_anchor,https://www.cnbc.com/2022/10/11/crypto-company-fined-29point3-million-for-violating-multiple-us-sanctions-.html,captured;patched_fields=4,sha256:d039a9ba782d9c448f5c8d67ce4c6c2497b920e70ca795352b9ac4c1c071df99,sources/http_captures/polynonce-bittrex-fincen-2022/v0_3_repair/www.cnbc.com__2022-10-11-crypto-company-fined-29point3-million-for-violating-multiple-us-sanctions-.html__5dc35e52b2.html,sources/http_captures/polynonce-bittrex-fincen-2022/v0_3_repair/www.cnbc.com__2022-10-11-crypto-company-fined-29point3-million-for-violating-multiple-us-sanctions-.html__5dc35e52b2.json,
polynonce-bittrex-fincen-2022,180,repair_replayable_trigger_anchor,https://www.fincen.gov/news/news-releases/fincen-announces-29-million-enforcement-action-against-virtual-asset-service,captured;patched_fields=4,sha256:3fad20a38bc90c2e69c4b8cabcc7326e8c01c39c4f264d3842202155851d5d3a,sources/http_captures/polynonce-bittrex-fincen-2022/v0_3_repair/www.fincen.gov__news-news-releases-fincen-announces-29-million-enforcement-action-against-virtual-asset-service__19564bb342.html,sources/http_captures/polynonce-bittrex-fincen-2022/v0_3_repair/www.fincen.gov__news-news-releases-fincen-announces-29-million-enforcement-action-against-virtual-asset-service__19564bb342.json,
pump-fun-uk-fca-geofence-2024-12,182,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
russia-cbr-bitcoin-information-letter-2014,185,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
russia-cbr-crypto-payment-ban-2022,186,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
russia-dfa-law-2020,187,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
russia-mining-legalization-law-2024-08,189,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
